"mapId","level","classId","party","routeScope","seeds","eligibleForAcceptance","leaderXpPerMinute","aggregateXpCreditsPerMinute","killsPerMinute","travelPercent","respawnWaitingPercent","recoveryPercent","damageTakenPerMinute","consumableCostPerMinute","deaths","companionDowns","companionDownMemberSeconds","visitedPlatformCount","routePlatformCount","stuckSeconds","cohortMapCount","cohortMedianXpPerMinute","deviationFromCohortMedianPercent","pacingWithinTarget","acceptanceNote","layoutRole","xpWithinTarget","dangerAdvantagePercent","comparisonCohortEligible","referenceMapCount","minimumSeedXpPerMinute","maximumSeedXpPerMinute","currencyPerMinute","pickedUpStacksPerMinute","potionUsesPerMinute","damageDealtPerMinute","materialsCollectedPerMinute","consumablesCollectedPerMinute","equippableEquipmentPerMinute","potentialEquipmentResalePerMinute","leaderDamageTakenPerMinute","travelSeconds","respawnWaitingSeconds","enemyHealingPerMinute","rawMovingPercent","engagedPursuitPercent","beforeXpPerMinute","pairedChangePercent","diagnosticChangePercent","comparisonEligibleForAcceptance","matchedResolvedRoute","status","mapName"
"thornpathThicket","6","archer","false","main","3","true","2119.867","2119.867","25.467","43.574","0.318","0","157.667","611.333","0","0","0","4","4","0","2","1777.2335","19.279","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","1884.6","2285","1360.667","23.467","17.467","4900.333","22.133","0.267","0","0","157.667","130.722","0.956","0","48.359","3.444","1864.867","13.674","13.674","true","true","requires-tuning","Thornpath Thicket"
"thornpathThicket","6","fighter","true","main","3","true","2208.933","3658.333","27.267","54.819","0.281","0","46.6","557.667","0","57","76.478","4","4","0","2","1839","20.116","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","2179.2","2231.6","1420.6","28.267","15.933","5564.867","27","0.333","0","4.8","46.6","164.455","0.844","0","66.733","17.648","2078.333","6.284","6.284","true","true","requires-tuning","Thornpath Thicket"
"thornpathThicket","14","fighter","false","main","3","true","3501.6","3501.6","26.4","58.722","0.341","0","65.467","574","0","0","0","4","4","0","2","4239.1","-17.398","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","3417.8","3630","1637.867","25.933","16.4","8119.467","24.933","0.133","0","0","65.467","176.167","1.022","0","66.93","14.27","3060.8","14.401","14.401","true","true","requires-tuning","Thornpath Thicket"
"thornpathThicket","14","mage","false","main","3","true","3310.067","3310.067","24.733","57.344","0.3","0","142.733","641.667","0","0","0","4","4","0","2","3713.3","-10.859","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","3089","3463.4","1565.867","23.467","18.333","7198.933","22.333","0.2","0","0","142.733","172.033","0.9","0","59.763","3.97","3106.867","6.54","6.54","true","true","requires-tuning","Thornpath Thicket"
"thornpathThicket","14","archer","false","main","3","true","3051.867","3051.867","22.4","55.048","0.441","0","163.467","634.667","0","0","0","4","4","0","2","3418.067","-10.714","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","2937.8","3142.4","1444.533","20.8","18.133","6807.667","19.667","0.4","0.067","2.4","163.467","165.144","1.322","0","57.707","3.215","3088.8","-1.196","-1.196","true","true","requires-tuning","Thornpath Thicket"
"thornpathThicket","14","fighter","true","main","3","true","3664.8","6078.533","25.933","62.578","0.563","0","58.933","562.333","0","47","63.2","4","4","0","2","4805.4335","-23.736","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","3559","3798","1624.133","25.467","16.067","8420.467","24.733","0.333","0","0","58.933","187.733","1.689","0","72.793","17.17","3397.6","7.864","7.864","true","true","requires-tuning","Thornpath Thicket"
"rustcoilRuins","14","fighter","false","main","3","true","4976.6","4976.6","25.933","25.326","0","0","384.733","728","0","0","0","5","5","0","2","4239.1","17.398","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","4853.6","5135.6","1922.667","26","20.8","10794.333","24.6","0.333","0.067","49.333","384.733","75.978","0","0","45.693","21.233","4318.667","15.235","15.235","true","true","requires-tuning","Rustcoil Ruins"
"rustcoilRuins","14","mage","false","main","3","true","4116.533","4116.533","21.333","26.033","0","0","577.2","868","0","0","0","5","5","0.356","2","3713.3","10.859","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","3916","4484.6","1650.467","22","24.8","9134.4","21.2","0.2","0","0","577.2","78.1","0","0","37.237","5.659","3714.933","10.81","10.81","true","true","within-numerical-targets","Rustcoil Ruins"
"rustcoilRuins","14","archer","false","main","3","true","3784.267","3784.267","19.6","22.226","0","0","572.133","835.333","0","0","0","5","5","0","2","3418.067","10.714","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","3434","4047.8","1525.733","20","23.867","8549.2","18.533","0.6","0","0","572.133","66.678","0","0","35.689","7.422","2894.333","30.747","30.747","true","true","within-numerical-targets","Rustcoil Ruins"
"rustcoilRuins","14","fighter","true","main","3","true","5946.067","9883.533","30.8","25.167","0","0","277.733","690.667","0","59","79.833","5","5","0.044","2","4805.4335","23.736","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","5735.4","6148.8","2369.933","30.933","19.733","13301","28.8","0.8","0","23.6","277.733","75.5","0","0","48.744","26.356","4792.467","24.071","24.071","true","true","requires-tuning","Rustcoil Ruins"
"rustcoilRuins","19","fighter","false","main","3","true","8744.533","8744.533","34.4","30.489","0","0","145","1014.333","0","0","0","5","5","0.289","3","9523.7665","-8.182","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","8568.6","8910.8","3334.867","33.4","11.933","22607.933","31.467","0.533","0.133","43.067","145","91.467","0","0","55.074","33.574","7777.467","12.434","12.434","true","true","requires-tuning","Rustcoil Ruins"
"rustcoilRuins","19","mage","false","main","3","true","8413.4","8413.4","33.4","29.456","0","0","251.467","1116.333","0","0","0","5","5","0","3","9564.3665","-12.034","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","8233.8","8580.6","3214.933","29.8","13.133","21480.933","27.733","0.867","0.133","43.067","251.467","88.367","0","0","39.956","11.233","7240.067","16.206","16.206","true","true","within-numerical-targets","Rustcoil Ruins"
"rustcoilRuins","19","archer","false","main","3","true","8301.8","8301.8","32.4","29.693","0","0","343.333","1331.667","0","0","0","5","5","0","3","9776.3665","-15.083","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","7763","8731.2","3183","27.933","15.667","21076.733","26.267","0.333","0","18.667","343.333","89.078","0","0","38.248","10.07","8003.667","3.725","3.725","true","true","requires-tuning","Rustcoil Ruins"
"rustcoilRuins","19","fighter","true","main","3","true","8833.333","14672.4","34.667","34.578","0","0","149.867","963.333","0","72","96.733","5","5","0.078","3","9745.3","-9.358","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","8199.2","9205.8","3342.4","34.333","11.333","23754.6","32.8","0.333","0.133","40.133","149.867","103.733","0","0","61.622","35.437","8196.4","7.771","7.771","true","true","requires-tuning","Rustcoil Ruins"
"cinderHollow","19","fighter","false","main","3","true","10303","10303","35.667","35.637","0.044","0","113.933","923.667","0","0","0","4","4","0","3","9523.7665","8.182","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","10043.8","10800.4","3835.533","35.8","10.867","21370.533","34","0.533","0","8.667","113.933","106.911","0.133","0","58.096","32.967","7807","31.971","31.971","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","19","mage","false","main","3","true","10715.333","10715.333","37.6","33.219","0.096","0","203.867","1110.667","0","0","0","4","4","0","3","9564.3665","12.034","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","10525.2","10868.8","4013.067","33.733","13.067","22701.333","31.8","0.667","0","8.667","203.867","99.656","0.289","0","41.152","10.063","7703.533","39.096","39.096","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","19","archer","false","main","3","true","11250.933","11250.933","39.6","35.381","0.107","0","238.2","1252.333","0","0","0","4","4","0","3","9776.3665","15.083","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","false",,"true","2","11010.4","11698.2","4154.733","34.733","14.733","23923.533","33.067","0.333","0","33.6","238.2","106.144","0.322","0","41.382","9.133","7843.933","43.435","43.435","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","19","fighter","true","main","3","true","10657.267","17717.467","37.333","39.341","0.193","0","131.133","906.667","0","88","115.511","4","4","0","3","9745.3","9.358","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","2","10317","11312.6","3998.267","38","10.667","23999.867","35.667","0.467","0","105.467","131.133","118.022","0.578","0","61.063","31.878","7859.267","35.601","35.601","true","true","requires-tuning","Cinder Hollow"
"banditRidgeCamp","19","fighter","false","main","3","true","8828.8","8828.8","37.467","19.167","0","0","165","980.333","0","0","0","4","4","0","3","9523.7665","-7.297","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","-7.297","true","2","8371.4","9175.2","3973.667","36.933","11.533","22468.267","34.8","0.6","0.067","4.333","165","57.5","0","0","54.974","48.1","8974.067","-1.619","-1.619","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","19","mage","false","main","3","true","9700.2","9700.2","41.067","18.189","0.044","0","168.333","1133.333","0","0","0","4","4","0","3","9564.3665","1.42","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","1.42","true","2","9397.2","10082.2","4285.533","33.533","13.333","24834","31.867","0.333","0","11.467","168.333","54.567","0.133","0","31.607","17.059","9702.333","-0.022","-0.022","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","19","archer","false","main","3","true","6366.467","6366.467","27","14.274","0.015","0","180.933","1297.667","0","0","0","4","4","0","3","9776.3665","-34.879","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","-34.879","true","2","5183","7664","2837.333","22.267","15.267","15983.133","20.867","0.333","0.067","1.533","180.933","42.822","0.044","0","21.826","13.096","6617","-3.786","-3.786","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","19","fighter","true","main","3","true","10100.133","16824.533","42.933","17.393","0","0","156.533","986","0","53","71.711","4","4","0","3","9745.3","3.641","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","3.641","true","2","9433.6","10893.4","4574.267","42.667","11.6","26889.067","40.2","0.4","0.2","30","156.533","52.178","0","0","56.37","50.863","10884.067","-7.203","-7.203","true","true","requires-tuning","Bandit Ridge Camp"
"cinderHollow","28","fighter","false","main","3","true","11409.867","11409.867","33.2","50.493","0.2","0","56.733","787.667","0","0","0","4","4","0.367","3","11409.867","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","10803.2","11722.8","4656.133","32.133","9.267","30858.067","30.8","0.467","0.067","18.4","56.733","151.478","0.6","0","65.53","25.385","9247.533","23.383","23.383","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","mage","false","main","3","true","13923","13923","40.667","40.378","0.119","0","180.867","980.333","0","0","0","4","4","0","3","13923","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","13814.2","14111","5746","36.267","11.533","34674.333","34.667","0.2","0","31.733","180.867","121.133","0.356","0","48.622","11.507","9546.467","45.845","45.845","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","archer","false","main","3","true","13524.133","13524.133","39.4","40.441","0.285","0","209.867","1122","0","0","0","4","4","0","3","13524.133","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","13219.4","13780.2","5544.333","32.533","13.2","36223.933","31.067","0.2","0","37.333","209.867","121.322","0.855","0","46.855","10.322","8783.867","53.966","53.966","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","guardian","false","main","3","true","11661.067","11661.067","33.867","37.263","0.118","0","64.733","515.667","0","0","0","4","4","0.289","3","11661.067","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","11594.4","11737.8","4814.133","35.533","6.067","30151.267","33.533","0.333","0","33.2","64.733","111.789","0.355","0","55.537","26.459","8865.467","31.534","31.534","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","berserker","false","main","3","true","11576.2","11576.2","33.733","41.578","0.285","0","77.867","714","0","0","0","4","4","0","3","11576.2","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","10372.2","12868.6","4803.533","34.533","8.4","31111.267","32.333","0.533","0.133","53.867","77.867","124.733","0.856","0","60.444","24.456","8572.867","35.033","35.033","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","duelist","false","main","3","true","12002.733","12002.733","35.067","38.633","0.163","0","144.8","861.333","0","0","0","4","4","0","3","12002.733","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","11842.4","12323.4","4948.133","35.333","10.133","31189.2","33.067","0.667","0.067","20.267","144.8","115.9","0.489","0","54.956","24.285","8818.2","36.113","36.113","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","fireMage","false","main","3","true","12646.4","12646.4","36.933","42.726","0.381","0","149.467","918","0","0","0","4","4","0","3","12646.4","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","12318.6","12812.8","5133.867","31.6","10.8","30820.733","30.667","0.267","0.067","32.8","149.467","128.178","1.144","0","48.759","9.352","9059.6","39.591","39.591","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","runeMage","false","main","3","true","12581.8","12581.8","36.667","48.222","0.204","0","115.733","923.667","0","0","0","4","4","0","3","12581.8","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","12447.8","12767.4","5205.067","33.8","10.867","31970.267","31.467","0.333","0","14.933","115.733","144.666","0.611","0","58.407","15.948","9356.333","34.474","34.474","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","stormMage","false","main","3","true","12191.067","12191.067","35.533","35.855","0.27","0","221.067","1003","0","0","0","4","4","0","3","12191.067","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","11881","12540.6","4934.733","30.733","11.8","28791.667","29.067","0.333","0.133","44.4","221.067","107.566","0.811","0","41.137","7.293","9065.067","34.484","34.484","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","sniper","false","main","3","true","10902.467","10902.467","31.733","24.1","0.063","0","551.267","991.667","0","0","0","4","4","2.211","3","10902.467","0","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","10381.6","11202.6","4618.4","30.267","11.667","24718.667","27.8","0.467","0.067","15.733","551.267","72.3","0.189","0","29.081","4.204","8033.267","35.716","35.716","true","true","within-numerical-targets","Cinder Hollow"
"cinderHollow","28","trapper","false","main","3","true","11796.333","11796.333","34.2","32.182","0.152","0","144.133","691.333","0","0","0","4","4","0","3","11796.333","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","11522.8","12077.4","4926.267","33.133","8.133","26115.133","30.867","0.6","0","33.467","144.133","96.545","0.456","0","49.948","20.278","8580.067","37.485","37.485","true","true","requires-tuning","Cinder Hollow"
"cinderHollow","28","beastArcher","false","main","3","true","12340.667","12340.667","35.933","28.785","0.089","0","379.267","895.333","0","0","0","4","4","0","3","12340.667","0","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","11996.4","12592","5040.867","32.267","10.533","30132.067","31.067","0.6","0","8.667","379.267","86.356","0.267","0","35.396","7.204","7965.467","54.927","54.927","true","true","within-numerical-targets","Cinder Hollow"
"cinderHollow","28","fighter","true","main","3","true","12498.667","20741.467","36.333","52.004","0.215","0","64.467","787.667","0","85","112.533","4","4","0","3","12498.667","0","false","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","trainingField","true",,"true","1","12218","13023.2","5110.133","36.2","9.267","33612.333","34.067","0.867","0.133","74.667","64.467","156.011","0.644","0","69.285","27.23","9791.067","27.654","27.654","true","true","requires-tuning","Cinder Hollow"
"banditRidgeCamp","28","fighter","false","main","3","true","13520.667","13520.667","39.533","21.226","0","0","171.133","952","0","0","0","4","4","0","3","11409.867","18.5","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","true","18.5","true","1","13040.8","13821.2","5274.2","39.8","11.2","34503.733","36.8","0.867","0.2","42.867","171.133","63.678","0","0","58.985","50.385","13086.467","3.318","3.318","true","true","within-numerical-targets","Bandit Ridge Camp"
"banditRidgeCamp","28","mage","false","main","3","true","14496.267","14496.267","42.4","23.363","0.078","0","140.067","1003","0","0","0","4","4","0","3","13923","4.117","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","4.117","true","1","13965.6","14868.4","5583","33.467","11.8","37990.533","31.333","0.733","0","0","140.067","70.089","0.233","0","38.152","19.878","15708.333","-7.716","-7.716","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","archer","false","main","3","true","11558.067","11558.067","34","17.648","0","0","200.4","1246.667","0","0","0","4","4","0.567","3","13524.133","-14.537","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","-14.537","true","1","9618.2","14403.6","4457.6","26.667","14.667","30319.067","25.2","0.8","0","0","200.4","52.944","0","0","25.711","14.419","9242","25.06","25.06","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","guardian","false","main","3","true","12532.933","12532.933","36.533","17.3","0","0","144.533","538.333","0","0","0","4","4","0","3","11661.067","7.477","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","7.477","true","1","11907.8","13399.6","4911.933","37","6.333","30778.267","34.8","0.467","0.133","25.4","144.533","51.9","0","0","51.952","45.63","12122.067","3.389","3.389","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","berserker","false","main","3","true","12437.733","12437.733","36.4","25.83","0","0","144.8","742.333","0","0","0","4","4","0","3","11576.2","7.442","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","7.442","true","1","12137.4","12849.2","4879.2","35.6","8.733","33113","33.067","0.6","0.067","27.2","144.8","77.489","0","0","57.874","41.978","12802.067","-2.846","-2.846","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","duelist","false","main","3","true","12869.2","12869.2","37.6","21.115","0","0","215.6","923.667","0","0","0","4","4","0.133","3","12002.733","7.219","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","7.219","true","1","12145.6","13609.8","5004.467","38.467","10.867","32106.867","36.133","0.667","0.2","47.2","215.6","63.345","0","0","53.004","40.389","12241.6","5.127","5.127","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","fireMage","false","main","3","true","14655.067","14655.067","42.933","23.767","0.052","0","123.333","963.333","0","0","0","4","4","0","3","12646.4","15.883","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","true","15.883","true","1","14061.4","15562","5648.133","36.333","11.333","33796","33.6","0.933","0","0","123.333","71.3","0.156","0","36.319","16.53","14555.333","0.685","0.685","true","true","within-numerical-targets","Bandit Ridge Camp"
"banditRidgeCamp","28","runeMage","false","main","3","true","13573.733","13573.733","39.733","26.304","0.126","0","106.867","1014.333","0","0","0","4","4","0","3","12581.8","7.884","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","7.884","true","1","13543.8","13632.4","5165.467","29.4","11.933","33744.533","28.133","0.333","0.067","1.533","106.867","78.911","0.378","0","46.918","28.704","13399.467","1.301","1.301","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","stormMage","false","main","3","true","13129.4","13129.4","38.533","25.189","0.089","0","107.2","963.333","0","0","0","4","4","0","3","12191.067","7.697","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","7.697","true","1","12692","13482.8","5082.6","32.867","11.333","30104.2","30.2","0.933","0","11.2","107.2","75.567","0.267","0","33.874","15.863","13674.6","-3.987","-3.987","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","sniper","false","main","3","true","7714.333","7714.333","22.6","10.911","0","0","254.4","855.667","0","0","0","4","4","0","3","10902.467","-29.242","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","-29.242","true","1","6586.4","8730.8","2964.333","18.533","10.067","17330.467","17.467","0.267","0","0","254.4","32.733","0","0","18.344","7.274","6922.6","11.437","11.437","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","trapper","false","main","3","true","11730.6","11730.6","34.533","18.1","0","0","138.467","742.333","0","0","0","4","4","0.011","3","11796.333","-0.557","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","-0.557","true","1","11000.8","12418.2","4566.067","30.667","8.733","25676.133","28.467","0.533","0.067","23.6","138.467","54.3","0","0","44.148","29.933","11690.533","0.343","0.343","true","true","requires-tuning","Bandit Ridge Camp"
"banditRidgeCamp","28","beastArcher","false","main","3","true","8256.267","8256.267","24.2","15.559","0","0","168.267","912.333","0","0","0","4","4","0.078","3","12340.667","-33.097","true","Measured route coverage and sample protocol sufficient for review; class/map balance still requires cohort judgment.","deepField","false","-33.097","true","1","6089.6","10162.2","3242.4","19.067","10.733","20131","17.733","0.533","0","0","168.267","46.678","0","0","19.641","12.615","8683.4","-4.919","-4.919","true","true","requires-tuning","Bandit Ridge Camp"
